Date,AAPL,AMZN,GDX,GLD,GS,INTC,MSFT,SPY
2015-01-02,27.332500457763672,308.5199890136719,18.940000534057617,114.08000183105469,194.41000366210938,36.36000061035156,46.7599983215332,205.42999267578125
2015-01-05,26.5625,302.19000244140625,19.440000534057617,115.80000305175781,188.33999633789062,35.95000076293945,46.33000183105469,201.72000122070312
2015-01-06,26.565000534057617,295.2900085449219,20.469999313354492,117.12000274658203,184.52999877929688,35.279998779296875,45.650001525878906,199.82000732421875
2015-01-07,26.9375,298.4200134277344,20.09000015258789,116.43000030517578,187.27999877929688,36.02000045776367,46.22999954223633,202.30999755859375
2015-01-08,27.97249984741211,300.4599914550781,19.790000915527344,115.94000244140625,190.27000427246094,36.689998626708984,47.59000015258789,205.89999389648438
2015-01-09,28.002500534057617,296.92999267578125,20.709999084472656,117.26000213623047,187.35000610351562,36.7599983215332,47.189998626708984,204.25
2015-01-12,27.3125,291.4100036621094,21.489999771118164,118.55999755859375,185.07000732421875,36.599998474121094,46.599998474121094,202.64999389648438
2015-01-13,27.55500030517578,294.739990234375,20.549999237060547,118.16000366210938,184.92999267578125,36.5,46.36000061035156,202.0800018310547
2015-01-14,27.450000762939453,293.2699890136719,20.309999465942383,117.97000122070312,180.22999572753906,36.349998474121094,45.959999084472656,200.86000061035156
2015-01-15,26.704999923706055,286.95001220703125,21.479999542236328,120.94000244140625,178.49000549316406,36.189998626708984,45.47999954223633,199.02000427246094
2015-01-16,26.497499465942383,290.739990234375,22.15999984741211,122.5199966430664,177.22999572753906,36.45000076293945,46.2400016784668,201.6300048828125
2015-01-20,27.18000030517578,289.44000244140625,22.940000534057617,124.19999694824219,175.6300048828125,36.09000015258789,46.38999938964844,202.05999755859375
2015-01-21,27.387500762939453,297.25,22.540000915527344,124.2300033569336,177.14999389648438,36.47999954223633,45.91999816894531,203.0800018310547
2015-01-22,28.100000381469727,310.32000732421875,22.420000076293945,125.2300033569336,182.0399932861328,36.90999984741211,47.130001068115234,206.10000610351562
2015-01-23,28.2450008392334,312.3900146484375,21.739999771118164,124.2300033569336,180.49000549316406,36.45000076293945,47.18000030517578,204.97000122070312
2015-01-26,28.274999618530273,309.6600036621094,22.149999618530273,122.98999786376953,180.4199981689453,35.810001373291016,47.0099983215332,205.4499969482422
2015-01-27,27.28499984741211,306.75,22.8799991607666,124.4000015258789,176.49000549316406,34.189998626708984,42.65999984741211,202.74000549316406
2015-01-28,28.827499389648438,303.9100036621094,21.969999313354492,123.41999816894531,173.0500030517578,33.779998779296875,41.189998626708984,200.13999938964844
2015-01-29,29.725000381469727,311.7799987792969,21.59000015258789,120.76000213623047,175.99000549316406,34.209999084472656,42.0099983215332,201.99000549316406
2015-01-30,29.290000915527344,354.5299987792969,22.290000915527344,123.44999694824219,172.41000366210938,33.040000915527344,40.400001525878906,199.4499969482422
2015-02-02,29.657499313354492,364.4700012207031,22.450000762939453,122.41999816894531,175.49000549316406,33.650001525878906,41.279998779296875,201.9199981689453
2015-02-03,29.662500381469727,363.54998779296875,21.8700008392334,121.05000305175781,180.24000549316406,33.70000076293945,41.599998474121094,204.83999633789062
2015-02-04,29.889999389648438,364.75,22.270000457763672,121.58000183105469,178.77999877929688,33.599998474121094,41.84000015258789,204.05999755859375
2015-02-05,29.985000610351562,373.8900146484375,22.579999923706055,121.79000091552734,180.77000427246094,33.939998626708984,42.45000076293945,206.1199951171875
2015-02-06,29.732500076293945,374.2799987792969,21.329999923706055,118.63999938964844,183.42999267578125,33.29999923706055,42.40999984741211,205.5500030517578
2015-02-09,29.93000030517578,370.55999755859375,21.690000534057617,119.16999816894531,182.22000122070312,32.93000030517578,42.36000061035156,204.6300048828125
2015-02-10,30.5049991607666,373.0,21.280000686645508,118.47000122070312,184.55999755859375,33.70000076293945,42.599998474121094,206.80999755859375
2015-02-11,31.219999313354492,375.1400146484375,20.860000610351562,117.06999969482422,187.64999389648438,33.54999923706055,42.380001068115234,206.92999267578125
2015-02-12,31.614999771118164,377.1700134277344,21.149999618530273,117.33999633789062,189.77999877929688,34.130001068115234,43.09000015258789,208.9199981689453
2015-02-13,31.770000457763672,381.8299865722656,21.260000228881836,117.9800033569336,189.0,34.36000061035156,43.869998931884766,209.77999877929688
2015-02-17,31.957500457763672,375.42999267578125,20.56999969482422,116.01000213623047,190.02000427246094,34.7400016784668,43.58000183105469,210.11000061035156
2015-02-18,32.18000030517578,373.3699951171875,21.040000915527344,116.33999633789062,188.6699981689453,34.27000045776367,43.529998779296875,210.1300048828125
2015-02-19,32.11249923706055,379.0,20.540000915527344,115.94000244140625,189.11000061035156,34.209999084472656,43.5,209.97999572753906
2015-02-20,32.375,383.6600036621094,20.450000762939453,115.27999877929688,191.50999450683594,34.40999984741211,43.86000061035156,211.24000549316406
